student_id,student_name,branch,general_average,core_subject_average,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,label,_sig
730,أحمد العبدالله,Scientific,94.19,92.91,4,ربما,2,يعتمد,3,أختار تخصصًا قريبًا منه,متوسط,3,3,2,5,5,4,4,تقرصه لتثبت,سأكون متحمسًا,من يصل مبكرًا يحصد نجاحًا,5,لا مشكلة لدي,3,4,5,5,3,4,4,26,منحاز,لا أعرف,أصفر,أزرق,الكتابة والتأليف,الخيال والخدع,ركوب الدراجة,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Computer Engineering,"(4, 'يعتمد', 2, 'يعتمد', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 3, 2, 5, 5, 4, 4, 'تقرصه لتثبت', 'سأكون متحمسًا', 'من يصل مبكرًا يحصد نجاحًا', 5, 'لا مشكلة لدي', 3, 4, 5, 5, 3, 4, 4, '26', 'منحاز', 'لا أعرف', 'أصفر', 'أزرق', 'الكتابة والتأليف', 'الخيال والخدع', 'ركوب الدراجة', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
611,خالد العلي,Scientific,90.25,87.75,3,لا,3,لا,3,أختار تخصصًا قريبًا منه,متوسط,3,2,3,4,3,3,3,تشرح له حقيقة شعور الألم,سأكون قلقًا,كل شيء له وقته ومكانه,4,لا أحب الأعمال الكتبية,2,1,3,3,2,2,2,26,عادل,لا أعرف,لا أتذكر,لا أتذكر,التصوير الفوتوغرافي,التحقيقات البوليسية,السباحة,تصوير وصناعة الفيديوهات,مشاهدة فيديوهات تعليمية,أعمل على مشروع فني,Nursing,"(3, 'لا', 3, 'لا', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 2, 3, 4, 3, 3, 3, 'تشرح له حقيقة شعور الألم', 'سأكون قلقًا', 'كل شيء له وقته ومكانه', 4, 'لا أحب الأعمال الكتبية', 2, 1, 3, 3, 2, 2, 2, '26', 'عادل', 'لا أعرف', 'لا أتذكر', 'لا أتذكر', 'التصوير الفوتوغرافي', 'التحقيقات البوليسية', 'السباحة', 'تصوير وصناعة الفيديوهات', 'مشاهدة فيديوهات تعليمية', 'أعمل على مشروع فني')"
1234,أحمد الخالدي,Scientific,94.01,95.11,2,ربما,3,يعتمد,2,أختار تخصصًا قريبًا منه,منخفض,2,3,3,3,4,2,2,تشرح له حقيقة شعور الألم,سأكون متحمسًا,كل شيء له وقته ومكانه,4,لا مشكلة لدي,1,4,3,4,3,4,3,26,منصف,لا أعرف,لا أتذكر,أزرق,الكتابة والتأليف,التحقيقات البوليسية,السباحة,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Network Engineering,"(2, 'يعتمد', 3, 'يعتمد', 2, 'أختار تخصصًا قريبًا منه', 'منخفض', 2, 3, 3, 3, 4, 2, 2, 'تشرح له حقيقة شعور الألم', 'سأكون متحمسًا', 'كل شيء له وقته ومكانه', 4, 'لا مشكلة لدي', 1, 4, 3, 4, 3, 4, 3, '26', 'منصف', 'لا أعرف', 'لا أتذكر', 'أزرق', 'الكتابة والتأليف', 'التحقيقات البوليسية', 'السباحة', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
5087,فاطمة المصري,Industrial,82.63,82.71,3,ربما,4,يعتمد,4,أختار تخصصًا قريبًا منه,متوسط,4,2,3,3,2,4,3,تشرح له عن النواقل,سأكون متحمسًا,استرح واستمتع,5,لا مشكلة لدي,2,4,4,1,3,5,3,26,عادل,يجوز له ذلك بعد الطلاق,أخضر,لا أتذكر,التصوير الفوتوغرافي,التحقيقات البوليسية,السباحة,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Mechanical Engineering,"(3, 'يعتمد', 4, 'يعتمد', 4, 'أختار تخصصًا قريبًا منه', 'متوسط', 4, 2, 3, 3, 2, 4, 3, 'تشرح له عن النواقل', 'سأكون متحمسًا', 'استرح واستمتع', 5, 'لا مشكلة لدي', 2, 4, 4, 1, 3, 5, 3, '26', 'عادل', 'يجوز له ذلك بعد الطلاق', 'أخضر', 'لا أتذكر', 'التصوير الفوتوغرافي', 'التحقيقات البوليسية', 'السباحة', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
325,مريم الإبراهيم,Scientific,88.0,89.4,4,نعم,5,لا,5,أختار تخصصًا قريبًا منه,متوسط,3,3,2,4,5,1,3,تشرح له حقيقة شعور الألم,سأكون قلقًا,استرح واستمتع,3,فقط إذا كنت أحب ما أدرسه,1,3,5,3,3,2,3,لا أعرف,صائب,لن يستطيع الزواج,لا أتذكر,لا أتذكر,العزف على آلة موسيقية,الدرامية أو الكوميدية,التخييم والرحلات,تصوير وصناعة الفيديوهات,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Nursing,"(4, 'نعم', 5, 'لا', 5, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 3, 2, 4, 5, 1, 3, 'تشرح له حقيقة شعور الألم', 'سأكون قلقًا', 'استرح واستمتع', 3, 'فقط إذا كنت أحب ما أدرسه', 1, 3, 5, 3, 3, 2, 3, 'لا أعرف', 'صائب', 'لن يستطيع الزواج', 'لا أتذكر', 'لا أتذكر', 'العزف على آلة موسيقية', 'الدرامية أو الكوميدية', 'التخييم والرحلات', 'تصوير وصناعة الفيديوهات', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
2908,فاطمة الإبراهيم,Literary,81.77,79.77,3,نعم,4,نعم,3,أبحث عن بديل,مرتفع,3,3,4,4,3,4,3,تشرح له حقيقة شعور الألم,غالبًا لا أجازف,الاختلاف والتنوع هما أساس الحياة,4,مع تغيير المكان,4,4,4,4,3,3,4,1,منحاز,يجوز له ذلك بعد الطلاق,لا أتذكر,أزرق,الكتابة والتأليف,التحقيقات البوليسية,التخييم والرحلات,تعلم لغات جديدة,قراءة كتاب أو مجلة,أبتكر قصة أو مشهد,Elementary School Teacher,"(3, 'نعم', 4, 'نعم', 3, 'أبحث عن بديل', 'مرتفع', 3, 3, 4, 4, 3, 4, 3, 'تشرح له حقيقة شعور الألم', 'غالبًا لا أجازف', 'الاختلاف والتنوع هما أساس الحياة', 4, 'مع تغيير المكان', 4, 4, 4, 4, 3, 3, 4, '1', 'منحاز', 'يجوز له ذلك بعد الطلاق', 'لا أتذكر', 'أزرق', 'الكتابة والتأليف', 'التحقيقات البوليسية', 'التخييم والرحلات', 'تعلم لغات جديدة', 'قراءة كتاب أو مجلة', 'أبتكر قصة أو مشهد')"
220,حسين السعدي,Scientific,68.9,71.22,3,لا,4,لا,2,أختاره,متوسط,3,4,3,2,4,3,3,تشرح له عن النواقل,غالبًا لا أجازف,من يصل مبكرًا يحصد نجاحًا,5,فقط إذا كنت أحب ما أدرسه,4,3,4,4,2,3,2,1,عادل,لا أعرف,زهري,زهري,التصوير الفوتوغرافي,العلمية أو الخيال العلمي,ركوب الدراجة,إجراء التجارب العلمية,مشاهدة فيديوهات تعليمية,أعمل على مشروع فني,Mathematics and Data Science,"(3, 'لا', 4, 'لا', 2, 'أختاره', 'متوسط', 3, 4, 3, 2, 4, 3, 3, 'تشرح له عن النواقل', 'غالبًا لا أجازف', 'من يصل مبكرًا يحصد نجاحًا', 5, 'فقط إذا كنت أحب ما أدرسه', 4, 3, 4, 4, 2, 3, 2, '1', 'عادل', 'لا أعرف', 'زهري', 'زهري', 'التصوير الفوتوغرافي', 'العلمية أو الخيال العلمي', 'ركوب الدراجة', 'إجراء التجارب العلمية', 'مشاهدة فيديوهات تعليمية', 'أعمل على مشروع فني')"
2161,حسين الإبراهيم,Literary,81.72,80.45,3,لا,3,نعم,3,أبحث عن بديل,منخفض,3,3,3,5,4,2,4,تشرح له حقيقة شعور الألم,غالبًا لا أجازف,كل شيء له وقته ومكانه,4,مع تغيير المكان,3,2,3,2,4,1,3,لا أعرف,منحاز,لا أعرف,أصفر,لا أتذكر,الكتابة والتأليف,التحقيقات البوليسية,التخييم والرحلات,تعلم لغات جديدة,قراءة كتاب أو مجلة,أبتكر قصة أو مشهد,Law,"(3, 'لا', 3, 'نعم', 3, 'أبحث عن بديل', 'منخفض', 3, 3, 3, 5, 4, 2, 4, 'تشرح له حقيقة شعور الألم', 'غالبًا لا أجازف', 'كل شيء له وقته ومكانه', 4, 'مع تغيير المكان', 3, 2, 3, 2, 4, 1, 3, 'لا أعرف', 'منحاز', 'لا أعرف', 'أصفر', 'لا أتذكر', 'الكتابة والتأليف', 'التحقيقات البوليسية', 'التخييم والرحلات', 'تعلم لغات جديدة', 'قراءة كتاب أو مجلة', 'أبتكر قصة أو مشهد')"
4182,عائشة المحمد,Industrial,69.08,71.55,3,ربما,3,لا,3,أختار تخصصًا قريبًا منه,متوسط,3,2,4,4,3,2,3,تشرح له عن النواقل,سأكون متحمسًا,استرح واستمتع,4,لا مشكلة لدي,3,4,4,3,3,3,4,26,صائب,لا أعرف,زهري,لا أتذكر,الكتابة والتأليف,الخيال والخدع,السباحة,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Geomatic Engineering,"(3, 'يعتمد', 3, 'لا', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 2, 4, 4, 3, 2, 3, 'تشرح له عن النواقل', 'سأكون متحمسًا', 'استرح واستمتع', 4, 'لا مشكلة لدي', 3, 4, 4, 3, 3, 3, 4, '26', 'صائب', 'لا أعرف', 'زهري', 'لا أتذكر', 'الكتابة والتأليف', 'الخيال والخدع', 'السباحة', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
5088,فاطمة الأحمد,Industrial,94.3,95.64,3,ربما,3,يعتمد,4,أختار تخصصًا قريبًا منه,مرتفع,2,3,4,3,1,3,3,تشرح له حقيقة شعور الألم,سأكون متحمسًا,من يصل مبكرًا يحصد نجاحًا,5,فقط إذا كنت أحب ما أدرسه,2,4,5,3,3,4,3,26,صائب,لا أعرف,أصفر,لا أتذكر,الكتابة والتأليف,التحقيقات البوليسية,ممارسة الألعاب الرياضية,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Mechanical Engineering,"(3, 'يعتمد', 3, 'يعتمد', 4, 'أختار تخصصًا قريبًا منه', 'مرتفع', 2, 3, 4, 3, 1, 3, 3, 'تشرح له حقيقة شعور الألم', 'سأكون متحمسًا', 'من يصل مبكرًا يحصد نجاحًا', 5, 'فقط إذا كنت أحب ما أدرسه', 2, 4, 5, 3, 3, 4, 3, '26', 'صائب', 'لا أعرف', 'أصفر', 'لا أتذكر', 'الكتابة والتأليف', 'التحقيقات البوليسية', 'ممارسة الألعاب الرياضية', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
